"expt_date,05/11/2024 15:19"
"subj_name,8"
"sustattn,True"
"changedetect,True"
"seed,1715411942"
"restarting,False"
"env,other"
"save_dir,./../subjects/8/data/beh/"
"debug,False"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,07:19:21:975000,6,1,[8 5 3 0 7 2],1,1.0,1.0,0.499820599973,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,16.7216379,17.2214585,nan,nan
0,1,07:19:23:025000,6,1,[7 0 1 5 2 3],1,1.0,1.0,0.510539900046,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,17.767575,18.2781149001,nan,nan
0,2,07:19:24:067000,6,0,[8 3 7 0 4 1],0,0.0,1.0,0.814314000017,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,18.8146832,19.6289972001,nan,nan
0,3,07:19:25:120000,6,1,[1 7 4 3 5 8],1,1.0,1.0,0.613510900002,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,19.8605019,20.4740128,nan,nan
0,4,07:19:26:161000,6,1,[7 2 3 5 8 0],1,1.0,1.0,0.576967399975,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,20.9085012,21.4854686,nan,nan
0,5,07:19:27:210000,6,1,[3 8 0 6 5 4],1,1.0,1.0,0.409289699979,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,21.9567007,22.3659904,nan,nan
0,6,07:19:40:852000,6,0,[7 1 4 0 6 5],0,0.0,1.0,0.716865099967,1.0,[ 1.  1.  1.  1.  1.  1.],[ 1.  3.  4.  5.  2.  6.],[ 6.  3.  1.  0.  3.  8.],1.0,[  1.5168861   4.6459738   5.6445707   7.1649956   2.4233456  10.5187562],15.7244426,23.0021847,23.7190498,25.0196821,35.5503329
0,7,07:19:41:904000,6,1,[1 4 7 2 5 3],1,1.0,1.0,0.531714499986,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,36.6494976,37.1812121,nan,nan
0,8,07:19:42:954000,6,1,[3 0 2 5 8 4],1,1.0,1.0,0.458577400015,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,37.6996713,38.1582487,nan,nan
0,9,07:19:44:007000,6,1,[7 4 6 1 3 2],1,1.0,1.0,0.496985299978,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,38.7476297001,39.244615,nan,nan
0,10,07:19:45:042000,6,1,[2 3 1 7 5 6],1,1.0,1.0,0.444156499987,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,39.7934597,40.2376162,nan,nan
0,11,07:19:46:091000,6,0,[3 7 6 5 4 0],0,0.0,1.0,0.837637099961,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,40.8400184,41.6776555,nan,nan
0,12,07:19:47:145000,6,1,[1 4 5 3 0 6],1,1.0,1.0,0.735270900012,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,41.8863295,42.6216004,nan,nan
0,13,07:19:48:184000,6,1,[8 0 2 5 7 3],1,1.0,1.0,0.6631452,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],15.7244426,42.9334225,43.5965677,nan,nan
