"expt_date,04/29/2024 18:49",,,,,,,,,,,,,,,,,,,,
"subj_name,1",,,,,,,,,,,,,,,,,,,,
"sustattn,True",,,,,,,,,,,,,,,,,,,,
"changedetect,True",,,,,,,,,,,,,,,,,,,,
"seed,1714387756",,,,,,,,,,,,,,,,,,,,
"restarting,False",,,,,,,,,,,,,,,,,,,,
"env,other",,,,,,,,,,,,,,,,,,,,
"save_dir,./../subjects/1/data/beh/",,,,,,,,,,,,,,,,,,,,
"debug,False",,,,,,,,,,,,,,,,,,,,
"project_dir,./../",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset,
0,18,10:50:11:180000,6,1,[5 6 1 3 2 8],1,1,1,0.4115424,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,51.7635453,52.1750877,nan,nan
0,19,10:50:12:240000,6,1,[2 0 3 7 6 4],1,1,1,0.303021,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,52.8185621,53.1215831,nan,nan
0,20,10:50:13:299000,6,1,[3 6 5 0 1 2],1,1,1,0.3628793,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,53.8762756,54.2391549,nan,nan
0,21,10:50:14:354000,6,1,[1 2 8 6 7 3],1,1,1,0.3902948,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,54.9314219,55.3217167,nan,nan
0,22,10:50:15:411000,6,0,[4 5 6 7 1 2],0,0,1,0.4663572,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,55.9870053,56.4533625,nan,nan
0,23,10:50:16:483000,6,1,[3 0 5 6 2 7],1,1,1,0.357625,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,57.0519049,57.4095299,nan,nan
0,24,10:50:17:542000,6,1,[5 6 0 1 4 2],1,1,1,0.3827585,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,58.1126915,58.49545,nan,nan
0,25,10:50:18:598000,6,1,[2 8 7 6 5 0],1,1,1,0.3485662,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,59.1711357,59.5197019,nan,nan
0,26,10:50:30:830000,6,0,[5 7 6 3 2 4],0,0,1,0.3972016,1,[ 1.  1.  1.  1.  1.  1.],[ 4.  3.  2.  1.  6.  5.],[ 2.  7.  6.  3.  1.  4.],4,[ 6.1771204  4.2964138  3.3055033  1.7936228  9.1348767  8.3309147],8.462099,60.227338,60.6245396,62.2349305,71.3919874
0,27,10:50:31:889000,6,1,[7 0 3 5 4 6],1,1,1,0.4369944,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,72.4700532,72.9070476,nan,nan
